lagoslakeid,lake_namegnis,lake_states,lake_depth_state,lake_lat_decdeg,lake_lon_decdeg,lake_maxdepth_m,lake_meandepth_m,lake_waterarea_ha,lake_depth_sourcename,lake_depth_sourceurl,lake_maxdepth_effort,lake_meandepth_effort
3305,NA,IN,IN,41.41424821,-86.47460921,9.4,2.8,134.1524977,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
3306,Culvers Lake,NJ,NJ,41.16979099,-74.77614502,15,NA,218.2006365,NJ_DEP_CHEM,wikipedia,LAGOSNE_Q500,NULL
3307,NA,MN,MN,45.03613287,-93.61907515,11.53264713,NA,29.63869329,NULL,NULL,bathymetry,NULL
3308,NA,MN,MN,48.01889572,-91.99228932,1.5,NA,35.27654847,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3309,NA,WI,WI,45.95430315,-88.417652,9.144,NA,40.93701781,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3311,NA,MI,MI,43.37847005,-86.3854817,21.336,NA,1043.150032,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
3312,NA,MN,MN,46.92709554,-95.53313208,11.56314278,NA,481.5031746,NULL,NULL,bathymetry,NULL
3313,NA,MN,MN,46.20834292,-93.0474054,6.705053806,NA,157.3582774,NULL,NULL,bathymetry,NULL
3314,NA,MI,MI,43.29558062,-85.16877827,12.19140506,5.7912,92.09532883,NULL,NULL,bathymetry,LAGOSNE
3315,NA,WI,WI,45.48945055,-89.56352467,3.9624,NA,5.778275998,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3316,NA,MN,MN,45.27475589,-94.44539531,5.179695129,NA,216.1413875,NULL,NULL,bathymetry,NULL
3317,NA,MN,MN,47.84696696,-90.3581182,4.6,NA,46.07158716,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3318,NA,MN,MN,47.20710606,-92.35680473,7.619627953,NA,65.48759142,NULL,NULL,bathymetry,NULL
