Lake County, Minnesota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
196512,25.1,3.1
196601,7.6,-9.4
196602,20.2,-2.8
196603,36.2,0.8
196604,41.6,-6.5
196605,55.8,-6.4
196606,73.0,1.7
196607,79.5,3.2
196608,70.3,-4.2
196609,64.4,-0.8
196610,50.3,-0.1
196611,30.4,-3.9
196612,18.2,-3.8
196701,16.8,-0.2
196702,14.4,-8.6
196703,33.6,-1.8
196704,45.7,-2.4
196705,55.7,-6.5
196706,69.8,-1.5
196707,74.1,-2.2
196708,71.2,-3.3
196709,65.4,0.2
196710,48.0,-2.4
196711,30.2,-4.1
196712,21.8,-0.2
196801,16.3,-0.7
196802,19.8,-3.2
196803,39.9,4.5
196804,48.6,0.5
196805,57.2,-5.0
196806,68.0,-3.3
196807,73.6,-2.7
196808,71.4,-3.1
196809,62.9,-2.3
196810,51.9,1.5
196811,33.5,-0.8
196812,18.1,-3.9
196901,13.9,-3.1
196902,23.6,0.6
196903,32.0,-3.4
196904,50.4,2.3
196905,61.1,-1.1
196906,62.3,-9.0
196907,73.8,-2.5
196908,77.2,2.7
196909,62.8,-2.4
196910,45.0,-5.4
196911,33.5,-0.8
196912,22.4,0.4
197001,10.3,-6.7
197002,20.7,-2.3
197003,30.9,-4.5
197004,44.5,-3.6
197005,54.4,-7.8
197006,71.9,0.6
197007,79.3,3.0
197008,76.7,2.2
197009,63.2,-2.0
197010,50.6,0.2
197011,31.8,-2.5
197012,19.3,-2.7
197101,6.7,-10.3
197102,21.7,-1.3
197103,30.0,-5.4
197104,47.2,-0.9
197105,59.0,-3.2
197106,72.9,1.6
197107,72.0,-4.3
197108,72.7,-1.8
197109,64.5,-0.7
197110,53.5,3.1
197111,31.3,-3.0
197112,20.5,-1.5
197201,8.8,-8.2
197202,15.4,-7.6
197203,28.4,-7.0
197204,44.1,-4.0
197205,66.1,3.9
197206,71.8,0.5
197207,72.0,-4.3
197208,72.1,-2.4
197209,58.7,-6.5
197210,46.7,-3.7
197211,30.0,-4.3
197212,12.0,-10.0
197301,20.5,3.5
197302,22.5,-0.5
197303,39.9,4.5
197304,47.0,-1.1
197305,58.1,-4.1
197306,69.5,-1.8
197307,75.2,-1.1
197308,74.3,-0.2
197309,62.0,-3.2
197310,54.9,4.5
197311,32.6,-1.7
197312,18.3,-3.7
197401,13.6,-3.4
197402,21.4,-1.6
197403,29.8,-5.6
197404,48.0,-0.1
197405,55.4,-6.8
197406,70.7,-0.6
197407,78.1,1.8
197408,69.9,-4.6
197409,57.5,-7.7
197410,51.0,0.6
197411,34.3,0.0
197412,26.0,4.0
197501,18.3,1.3
197502,22.0,-1.0
197503,29.3,-6.1
197504,41.5,-6.6
197505,65.9,3.7
197506,69.1,-2.2
197507,79.1,2.8
197508,73.2,-1.3
197509,59.8,-5.4
197510,53.3,2.9
197511,38.5,4.2
197512,19.1,-2.9
197601,14.6,-2.4
197602,29.8,6.8
197603,31.0,-4.4
197604,52.9,4.8
197605,63.1,0.9
197606,74.1,2.8
197607,77.7,1.4
197608,77.1,2.6
197609,65.8,0.6
197610,45.1,-5.3
197611,28.2,-6.1
197612,11.7,-10.3
197701,7.1,-9.9
197702,23.4,0.4
197703,40.0,4.6
197704,54.5,6.4
197705,70.9,8.7
197706,70.1,-1.2
197707,75.8,-0.5
197708,66.4,-8.1
197709,59.7,-5.5
197710,52.1,1.7
197711,34.0,-0.3
197712,16.1,-5.9
197801,11.2,-5.8
197802,18.3,-4.7
197803,34.0,-1.4
197804,45.5,-2.6
197805,65.0,2.8
197806,70.3,-1.0
197807,72.6,-3.7
197808,72.7,-1.8
197809,65.7,0.5
197810,52.7,2.3
